schema_version,requested_action,catalog_key,sense_key,record_revision,catalog_status,term,lemma,part_of_speech,level,category,definition_zh,accepted_answers_zh,prompt_en,prompt_zh,phonetic_ipa,example_en,example_zh,accepted_forms_en,synonyms_en,antonyms_en,enable_en_to_zh,distractor_zh_1,distractor_zh_2,distractor_zh_3,distractor_zh_4,distractor_zh_5,distractor_zh_6,enable_zh_to_en,distractor_en_1,distractor_en_2,distractor_en_3,distractor_en_4,distractor_en_5,distractor_en_6,source_reference,contributor_ref,change_note,retirement_reason
word-catalog-v1,CREATE_DRAFT,,,,,alarm clock,alarm clock,noun,A2,home-household,鬧鐘,,,,əˈlɑːrm ˌklɑːk,,,,,,TRUE,洗衣機,咖啡機,小型焗爐,冷氣機,風筒,吸塵器,TRUE,washing machine,coffee maker,toaster oven,air conditioner,hair dryer,vacuum cleaner,,,,
word-catalog-v1,CREATE_DRAFT,,,,,equipment,equipment,noun,A2,home-household,設備,,,,i'kwipmәnt,,,,,,TRUE,裝置,揚聲器,相機,洗碗機,烤箱,暖爐,TRUE,device,loudspeaker,camera,dishwasher,oven,heater,,,,
word-catalog-v1,CREATE_DRAFT,,,,,device,device,noun,A2,home-household,裝置,,,,di'vais,,,,appliance,,TRUE,設備,揚聲器,相機,洗碗機,烤箱,收音機,TRUE,equipment,loudspeaker,camera,dishwasher,oven,radio,,,,
word-catalog-v1,CREATE_DRAFT,,,,,loudspeaker,loudspeaker,noun,A2,home-household,揚聲器,,,,'laʊdsp'i:kər,,,,,,TRUE,設備,裝置,相機,洗碗機,烤箱,電話,TRUE,equipment,device,camera,dishwasher,oven,telephone,,,,
word-catalog-v1,CREATE_DRAFT,,,,,camera,camera,noun,A2,home-household,相機,,,,'kæmәrә,,,,,,TRUE,裝置,揚聲器,洗碗機,烤箱,收音機,線路,TRUE,equipment,device,loudspeaker,dishwasher,heater,line,,,,
word-catalog-v1,CREATE_DRAFT,,,,,dishwasher,dishwasher,noun,A2,home-household,洗碗機,,,,'diʃwɒʃә,,,,,,TRUE,設備,裝置,相機,烤箱,暖爐,收音機,TRUE,device,loudspeaker,camera,oven,radio,telephone,,,,
word-catalog-v1,CREATE_DRAFT,,,,,washing machine,washing machine,noun,A2,home-household,洗衣機,,,,'wɒʃɪŋməʃ'i:n,,,,,,TRUE,鬧鐘,咖啡機,小型焗爐,冷氣機,風筒,遙控器,TRUE,alarm clock,coffee maker,toaster oven,air conditioner,hair dryer,remote control,,,,
word-catalog-v1,CREATE_DRAFT,,,,,oven,oven,noun,A2,home-household,烤箱,,,,'ʌvәn,,,,,,TRUE,設備,揚聲器,洗碗機,暖爐,電話,風扇,TRUE,equipment,camera,dishwasher,heater,radio,fan,,,,
word-catalog-v1,CREATE_DRAFT,,,,,coffee maker,coffee maker,noun,A2,home-household,咖啡機,,,,ˈkɔfi ˈmeɪkə,,,,,,TRUE,鬧鐘,洗衣機,小型焗爐,冷氣機,風筒,煙霧探測器,TRUE,alarm clock,washing machine,toaster oven,air conditioner,hair dryer,smoke detector,,,,
word-catalog-v1,CREATE_DRAFT,,,,,toaster oven,toaster oven,noun,A2,home-household,小型焗爐,,,,ˈtoʊ.stɚ ˌʌv.ən,,,,,,TRUE,鬧鐘,洗衣機,咖啡機,冷氣機,吸塵器,遙控器,TRUE,alarm clock,washing machine,coffee maker,air conditioner,vacuum cleaner,remote control,,,,
word-catalog-v1,CREATE_DRAFT,,,,,air conditioner,air conditioner,noun,A2,home-household,冷氣機,,,,eəkən'dɪʃənər,,,,,,TRUE,洗衣機,咖啡機,小型焗爐,風筒,遙控器,煙霧探測器,TRUE,washing machine,coffee maker,toaster oven,hair dryer,remote control,smoke detector,,,,
word-catalog-v1,CREATE_DRAFT,,,,,heater,heater,noun,A2,home-household,暖爐,,,,'hi:tә,,,,,,TRUE,烤箱,收音機,電話,線路,風扇,熨斗,TRUE,oven,radio,telephone,line,fan,iron,,,,
word-catalog-v1,CREATE_DRAFT,,,,,radio,radio,noun,A2,home-household,收音機,,,,'reidiәu,,,,,,TRUE,相機,洗碗機,暖爐,電話,線路,熨斗,TRUE,dishwasher,heater,telephone,line,fan,iron,,,,
word-catalog-v1,CREATE_DRAFT,,,,,telephone,telephone,noun,A2,home-household,電話,,,,'telifәun,,,,,,TRUE,暖爐,收音機,線路,風扇,熨斗,電筒,TRUE,heater,radio,line,fan,iron,system,,,,
word-catalog-v1,CREATE_DRAFT,,,,,line,line,noun,A2,home-household,線路,,,,lain,The phone line is not working.,電話線路壞了。,,,,TRUE,暖爐,收音機,電話,風扇,熨斗,系統,TRUE,radio,telephone,fan,iron,system,flashlight,,,,
word-catalog-v1,CREATE_DRAFT,,,,,hair dryer,hair dryer,noun,A2,home-household,風筒,,,,hɛə ˈdraɪə,,,,,,TRUE,咖啡機,小型焗爐,冷氣機,吸塵器,遙控器,煙霧探測器,TRUE,coffee maker,toaster oven,air conditioner,vacuum cleaner,remote control,smoke detector,,,,
word-catalog-v1,CREATE_DRAFT,,,,,fan,fan,noun,A2,home-household,風扇,,,,fæn,Please turn on the fan.,請開風扇。,,,,TRUE,收音機,電話,線路,熨斗,系統,地毯,TRUE,heater,telephone,line,iron,system,carpet,,,,
word-catalog-v1,CREATE_DRAFT,,,,,vacuum cleaner,vacuum cleaner,noun,A2,home-household,吸塵器,,,,ˈvækjuəm ˈkli:nə,,,,,,TRUE,小型焗爐,冷氣機,風筒,遙控器,煙霧探測器,緊急出口,TRUE,toaster oven,air conditioner,hair dryer,remote control,smoke detector,emergency exit,,,,
word-catalog-v1,CREATE_DRAFT,,,,,iron,iron,noun,A2,home-household,熨斗,,,,'aiәn,The iron is still hot.,熨斗仍然很熱。,,,,TRUE,電話,線路,風扇,系統,電筒,傢俱,TRUE,telephone,line,fan,system,flashlight,furniture,,,,
word-catalog-v1,CREATE_DRAFT,,,,,remote control,remote control,noun,A2,home-household,遙控器,,,,rɪ'məʊtkəntr'əʊl,,,,,,TRUE,洗衣機,冷氣機,風筒,吸塵器,煙霧探測器,燈泡,TRUE,washing machine,air conditioner,hair dryer,vacuum cleaner,smoke detector,light bulb,,,,
word-catalog-v1,CREATE_DRAFT,,,,,smoke detector,smoke detector,noun,A2,home-household,煙霧探測器,,,,sməuk dɪˈtektə,,,,,,TRUE,咖啡機,小型焗爐,風筒,吸塵器,遙控器,緊急出口,TRUE,coffee maker,toaster oven,hair dryer,vacuum cleaner,remote control,emergency exit,,,,
word-catalog-v1,CREATE_DRAFT,,,,,turn on,turn on,phrasal_verb,A2,home-household,打開,,,,,Please turn on the light.,請開燈。,,,,TRUE,關閉,運作,使用,修理,搬入,搬出,TRUE,turn off,work,use,repair,move in,move out,,,,
word-catalog-v1,CREATE_DRAFT,,,,,turn off,turn off,phrasal_verb,A2,home-household,關閉,,,,'tә:nɒf,Turn off the computer before you leave.,離開前請關掉電腦。,,,,TRUE,打開,運作,使用,試穿,搬入,搬出,TRUE,turn on,work,use,take off,move in,move out,,,,
word-catalog-v1,CREATE_DRAFT,,,,,work,work,verb,A2,home-household,運作,,,,wә:k,The machine does not work properly.,這部機器運作不正常。,,,,TRUE,壞的,使用,修理,傢俱,租,居住,TRUE,broken,use,repair,furniture,rent,live,,,,
word-catalog-v1,CREATE_DRAFT,,,,,broken,broken,adjective,A2,home-household,壞的,,,,'brәukәn,,,,,,TRUE,緊的,破舊的,直的,平的,圓的,舒適的,TRUE,loose,tight,worn-out,gold,coloured,cozy,,,,
