schema_version,requested_action,catalog_key,sense_key,record_revision,catalog_status,term,lemma,part_of_speech,level,category,definition_zh,accepted_answers_zh,prompt_en,prompt_zh,phonetic_ipa,example_en,example_zh,accepted_forms_en,synonyms_en,antonyms_en,enable_en_to_zh,distractor_zh_1,distractor_zh_2,distractor_zh_3,distractor_zh_4,distractor_zh_5,distractor_zh_6,enable_zh_to_en,distractor_en_1,distractor_en_2,distractor_en_3,distractor_en_4,distractor_en_5,distractor_en_6,source_reference,contributor_ref,change_note,retirement_reason
word-catalog-v1,CREATE_DRAFT,,,,,alarm clock,alarm clock,noun,A2,home-household,鬧鐘,,,,,,,,,,TRUE,浴缸,開關,柵欄,相機,系統,烤箱,TRUE,loudspeaker,coffee maker,flashlight,electricity,toaster oven,dishwasher,,,,
word-catalog-v1,CREATE_DRAFT,,,,,equipment,equipment,noun,A2,home-household,設備,,,,,,,,,,TRUE,窗簾,燈光,毛巾,入口,烤箱,柵欄,TRUE,telephone,toothpaste,bookshelf,flashlight,scissors,furniture,,,,
word-catalog-v1,CREATE_DRAFT,,,,,device,device,noun,A2,home-household,裝置,,,,,,,,appliance,,TRUE,坐廁,風筒,牙膏,設備,紙巾,走廊,TRUE,socket,switch,system,toilet,mailbox,bathtub,,,,
word-catalog-v1,CREATE_DRAFT,,,,,loudspeaker,loudspeaker,noun,A2,home-household,揚聲器,,,,,,,,,,TRUE,洗手盆,吸塵器,遙控器,冷氣機,洗碗機,暖爐,TRUE,light bulb,dishwasher,electricity,coffee maker,toothpaste,hair dryer,,,,
word-catalog-v1,CREATE_DRAFT,,,,,camera,camera,noun,A2,home-household,相機,,,,,,,,,,TRUE,走廊,鄰里,熨斗,浴缸,鑰匙,書架,TRUE,toilet,device,switch,mirror,socket,tissue,,,,
word-catalog-v1,CREATE_DRAFT,,,,,dishwasher,dishwasher,noun,A2,home-household,洗碗機,,,,,,,,,,TRUE,冷氣機,吸塵器,遙控器,咖啡機,揚聲器,線路,TRUE,flashlight,light bulb,toothpaste,hair dryer,alarm clock,bookshelf,,,,
word-catalog-v1,CREATE_DRAFT,,,,,washing machine,washing machine,noun,A2,home-household,洗衣機,,,,,,,,,,TRUE,遙控器,冷氣機,吸塵器,咖啡機,樓梯,紙巾,TRUE,air conditioner,emergency exit,remote control,smoke detector,vacuum cleaner,alarm clock,,,,
word-catalog-v1,CREATE_DRAFT,,,,,oven,oven,noun,A2,home-household,烤箱,,,,,,,,,,TRUE,熨斗,電纜,坐廁,電筒,設備,系統,TRUE,gate,hall,lock,line,sink,work,,,,
word-catalog-v1,CREATE_DRAFT,,,,,coffee maker,coffee maker,noun,A2,home-household,咖啡機,,,,,,,,,,TRUE,冷氣機,收音機,洗衣機,洗手盆,吸塵器,遙控器,TRUE,toaster oven,alarm clock,neighborhood,electricity,hair dryer,light bulb,,,,
word-catalog-v1,CREATE_DRAFT,,,,,toaster oven,toaster oven,noun,A2,home-household,小型焗爐,,,,,,,,,,TRUE,緊急出口,電源插座,冷氣機,遙控器,吸塵器,揚聲器,TRUE,neighborhood,coffee maker,alarm clock,electricity,loudspeaker,hair dryer,,,,
